post,label
URGENT: Your SBI account will be suspended. Log in now at http://promo.clicknow,spam
Exclusive deal on your mobile recharge. Visit https://scamoffers.net now!,spam
Lowest rates on insurance. No PAN required. Apply now!,spam
Lenskart Last weekend of EOSS Sale! Get upto 50% OFF + BUY1GET1 FREE with Gold membership! Limited Period Offer. TnC Apply Nearest Store lskt.me/u4,spam
"Guys It is 30 Nov , Not 31st ??",not_spam
Don’t forget to bring your Aadhaar card for the registration.,not_spam
Today ranga was reviewing the shift handover report ask rithika,not_spam
URGENT: Your SBI account will be suspended. Log in now at https://scamoffers.net,spam
URGENT: Your SBI account will be suspended. Log in now at https://fraud-link.com,spam
Last weekend to move First Forward on shoppersstop.com Click bit.ly/FF_Mwtc Shop Watches & Earn 10x Reward points + Bonus points bit.ly/BRP421 T&C,spam
Can you send the class notes from today’s lecture?,not_spam
Good morning Mr Arvind Singh,not_spam
Happy Diwali! Hope you have a joyful and prosperous year ahead.,not_spam
Today's decline in HDFC Bank not only affected the banking sector but also directly impacted the broader market,not_spam
That concludes our evening review. Last week I shared with you how to use moving averages. I believe everyone now has a good understanding of moving averages. Tonight I will be sharing what trends are.,not_spam
"Celebrate this Diwali with 75% off on salary withdrawals upto ?3,000. Hurry!! The offer expires on 13th Nov. Sign up now weurl.co/ii3XBw Team Refyne",spam
Can trends be used to make money?,not_spam
Exclusive deal on your mobile recharge. Visit https://scamoffers.net now!,spam
"I don't know when the power will be back, so I am informing beforehand",not_spam
Limited period offer: Get up to 51% cashback on Paytm.,spam
Exclusive deal on your mobile recharge. Visit http://promo.clicknow now!,spam
Please check the WhatsApp group for the latest college fest update.,not_spam
Can you send the class notes from today’s lecture?,not_spam
Reminder: Your LIC premium payment is due tomorrow at 10:30 AM.,not_spam
"Although the Indian market was closed yesterday, the U.S. market performed strongly. Today, Asian markets have generally risen, which will have a positive impact on the Indian market.",not_spam
Act now! Flipkart Big Sale ends soon. Shop here: http://promo.clicknow,spam
"Just for you: get 10% OFF on 4 orders! Get groceries, fruits, veggies, & meat delivered home in <45 mins. Click: http://bit.ly/DunzoApp",spam
"Traveling Abroad? Don't worry about staying connected anymore. Airtel has launched new International Roaming Packs with amazing benefits, starting at Rs.133/day. To explore, click https://i.airtel.in/4AIRIR",spam
Let’s catch up this weekend at CP?,not_spam
Pre-approved for a ₹739 loan. Apply instantly!,spam
""" Good morning, investors! It's time for the morning session. Let's start by focusing on the international markets.""",not_spam
Final notice: Pay your subscription to avoid service disruption.,spam
Looking forward to the start of the competition and looking forward to your performance,not_spam
Win a passport worth ₹241! Take part in our contest: https://scamoffers.net,spam
Can you send the class notes from today’s lecture?,not_spam
Taking time,not_spam
"Well, as you all know, I like to share simple and practical investment tips.",not_spam
"Dads are superheroes who don't wear capes. This Father's Day gift your superhero a super gift from Shoppers Stop. Click shsp.in to choose from the latest collection of Mens Wear, Watches, Wallets, Fragrances and more. Click bit.ly/DnSSApp to download our app. T&C",spam
Act now! Flipkart Big Sale ends soon. Shop here: https://fraud-link.com,spam
Thank you KK,not_spam
Whatever whoever is giving kt can you ensure that you adapt this model,not_spam
URGENT: Your SBI account will be suspended. Log in now at https://scamoffers.net,spam
"WE @Max Fashion MISS YOU! Here's 10% OFF JUST FOR YOU to celebrate the festivities in style! Offer valid on ALL Max Products Code: 2GPYY2C Till: 8, Apr TnC",spam
This time the rate cut in September seems inevitable,not_spam
Pre-approved for a ₹318 loan. Apply instantly!,spam
Meeting with HR has been shifted to 3:00 PM. Please check.,not_spam
Don’t forget to bring your Aadhaar card for the registration.,not_spam
Check in,not_spam
No more data run out worries! More Data for you with Airtel's Data top up packs starting @Rs.19. Click to avail now i.airtel.in/dtpck2,spam
"Watch MasterChef Hindi S2 for free! Your 30 days of FREE Airtel Xstream Play access is NOW ACTIVE! Get 15+ OTTs - Sony Live, LionsgatePlay, Fancode & more! Limited time offer. Click Below! https://open.airtelxstream.in/WatchForFree-sms",spam
Exclusive deal on your mobile recharge. Visit https://fraud-link.com now!,spam
All the best for your GATE exam tomorrow!,not_spam
Again disconnected,not_spam
Don’t forget to bring your Aadhaar card for the registration.,not_spam
I m new in group,not_spam
Looking forward to the professor's recommendations this afternoonÃ°ÂÂÂ,not_spam
"GUARANTEED VALENTINE'S DAY DELIVERY! Surprise Your Special Someone. HURRY, Order Today @ Rs.500 OFF* - Use Code VAL500 - Limited Period Offer! bit.ly/3jIywNP",spam
100=100 ! Get flat Rs100 cashback on Vi. Recharge for min Rs100 on PhonePe app paying via UPI Click https://phon.pe/vikr,spam
Don’t forget to bring your Aadhaar card for the registration.,not_spam
Congratulations! You've won a ticket. Click here to claim: https://scamoffers.net,spam
Lowest rates on credit cards. No PAN required. Apply now!,spam
Reminder: Your LIC premium payment is due tomorrow at 2:15 PM.,not_spam
Can you send the class notes from today’s lecture?,not_spam
Can you send the class notes from today’s lecture?,not_spam
Earn ₹435/day from home! No experience needed!,spam
Win a ticket worth ₹789! Take part in our contest: http://bit.ly/winner,spam
Limited period offer: Get up to 24% cashback on Paytm.,spam
OMG..The biggest offer of the season is here at MAX Fashion! EVERYTHING @FLAT 50% OFF!! Get FLAT 50% OFF on ENTIRE SALE merchandise ONLY till Sunday Rush! TnC,spam
What is the Moving Average Convergence Divergence (MACD)?,not_spam
Can you send the class notes from today’s lecture?,not_spam
Don’t forget to bring your Aadhaar card for the registration.,not_spam
Okay,not_spam
"SunNxt is LIVE on Airtel Xstream Play Enjoy access to 20+ OTTs, including Sony LIV, Eros Now, LionsgatePlay, hoichoi, Chaupal and more. Watch now at No Extra Cost - open.airtelxstream.in/Sunnxt_Free_30days",spam
"Hey, are we still going to the chai spot near college today?",not_spam
"And even if after trying the power button for 15 mins, it's not starting",not_spam
Lowest rates on personal loans. No PAN required. Apply now!,spam
Act now! Flipkart Big Sale ends soon. Shop here: http://bit.ly/winner,spam
Final notice: Pay your electricity bill to avoid service disruption.,spam
Can you send the class notes from today’s lecture?,not_spam
"Weekend Deals @SMART Point Store,Rs 20 OFF Oreo Choco 300g,Rs 36 OFF Lux Soft Touch Soap 3X150g ,Good Life Cashew 500g Rs 415,Click bit.ly/2wcq3h3 T&C",spam
Hello! Check your balance by simply click wa.me/919654297000?text=balance,spam
Please check the WhatsApp group for the latest college fest update.,not_spam
Oh ok,not_spam
"Hey, are we still going to the chai spot near college today?",not_spam
It's okay to not recommend stocks when the market is bad.,not_spam
Exclusive deal on your mobile recharge. Visit http://promo.clicknow now!,spam
"Shares of Paras Defence and Space Technologies were locked in 5 per cent upper circuit at Rs 1,207.40 per share on Friday, August 16, 2024. The uptick in the share price came after the company announced that its associate company, Controp-Paras Technologies Private Limited, has secured an order worth Rs 305 crore from Larsen and Toubro (L&T).",not_spam
All the best for your GATE exam tomorrow!,not_spam
I've sold everything Thank you Mr Arvind SinghÃ°ÂÂÂ,not_spam
Win a jacket worth ₹717! Take part in our contest: https://scamoffers.net,spam
All the best for your GATE exam tomorrow!,not_spam
Win a passport worth ₹622! Take part in our contest: https://fraud-link.com,spam
Enjoy 5GB valid till your current pack and Wynk Premium subscription for 30 days. Claim here: open.wynk.in/RC98Claim here: open.wynk.in/HTLapu,spam
Can you send the class notes from today’s lecture?,not_spam
Can you send the class notes from today’s lecture?,not_spam
Exclusive deal on your mobile recharge. Visit https://scamoffers.net now!,spam
Only Last 3 hours to get the Best Deals at The 4-3-2-1 DASH at shoppersstop.com Click bit.ly/SS_DASH Use code ATV31M before it expires tonight. TnC,spam
Earn ₹646/day from home! No experience needed!,spam
Reminder: Your LIC premium payment is due tomorrow at 3:00 PM.,not_spam
Limited period offer: Get up to 24% cashback on Paytm.,spam
Win a jacket worth ₹215! Take part in our contest: https://scamoffers.net,spam
"Dear Customer, Thank you for the transaction done today at SBI 70555 branch. Plz click on the given link to share your experience. https://crcf.sbi.co.in/ccf/home/GetFeedback?TxnDate=041023&TxnType=001060&JNo=20254308824. The feedback may be provided before 8 am tomorrow. No Personal Information would be captured. SBI",spam
<#> 1347 is your OTP to login into Airtel Thanks app. OTP valid for 15 mins. Do not share with anyone. If this was not you click i.airtel.in/Contact N9BWuqauU1y,spam
If the data is unfavorable it will definitely exacerbate the panic.,not_spam
Please check the WhatsApp group for the latest college fest update.,not_spam
"This time it's your sale, your way! Presenting the Shoppers Stop & HomeStop Upto 50% Off Sale Get great deals & offers on your favourites in-store, shsp.in or on our app + get offers on First Citizen Citi credit card & HDFC Bank Cards. Click bit.ly/SSPrwTC for details. T&C",spam
Reminder: Your LIC premium payment is due tomorrow at 10:30 AM.,not_spam
Mr Arvind Singh please remember to notify me when it's time to sell LLOYDS,not_spam
The CPI data being close to expectations is just an example of selling the news.,not_spam
Ok sirÃ°ÂÂÂ,not_spam
Congratulations! You've won a passport. Click here to claim: https://scamoffers.net,spam
Win a ticket worth ₹953! Take part in our contest: https://scamoffers.net,spam
Happy Diwali! Hope you have a joyful and prosperous year ahead.,not_spam
Joining in 5mins,not_spam
Facing issues with internet,not_spam
Reminder: Your LIC premium payment is due tomorrow at 2:15 PM.,not_spam
Let’s catch up this weekend at CP?,not_spam
"Due to pre cyclonic, there is no power. Don't know when will it come.",not_spam
Your Swiggy order is on the way. Tracking ID: 9381295712.,not_spam
Reminder: Your LIC premium payment is due tomorrow at 10:30 AM.,not_spam
Happy Diwali! Hope you have a joyful and prosperous year ahead.,not_spam
Ok,not_spam
This stock has the potential to make a significant profit,not_spam
Meeting with HR has been shifted to 3:00 PM. Please check.,not_spam
"Exclusive offer for you! 1) 30 Day free with Airtel Xstream Fiber 2) 350+ channels 3) 16+ OTTs including Netflix,Amazon Prime & Disney+ Hotstar Click i.airtel.in/blackPreDSL",spam
Final notice: Pay your subscription to avoid service disruption.,spam
URGENT: Your SBI account will be suspended. Log in now at http://bit.ly/winner,spam
Meeting with HR has been shifted to 10:30 AM. Please check.,not_spam
Yes i have admin access,not_spam
Act now! Flipkart Big Sale ends soon. Shop here: http://promo.clicknow,spam
It has already reached the second target price,not_spam
Don’t forget to bring your Aadhaar card for the registration.,not_spam
Don't lose out on first 30 days FREE of any new Airtel service! Just upgrade to Airtel Black & get OTT + TV Channels + Superfast WiFi. i.airtel.in/blackPreDSL,spam
And tell them that it's already approved by Ranganatha sir.. and also we have email approved,not_spam
Or chennai ?,not_spam
Don’t forget to bring your Aadhaar card for the registration.,not_spam
War is truly terrifying. I hope for world peace,not_spam
Happy Diwali! Hope you have a joyful and prosperous year ahead.,not_spam
"Hello, VI Pack prices will increase from 25th Nov. Now Save more on Yearly packs. Recharge now and save upto 20% on Long validity packs. Click http://bit.ly/ViRC",spam
Exclusive deal on your mobile recharge. Visit http://bit.ly/winner now!,spam
Selling LLOYDS was well-timed,not_spam
Meeting with HR has been shifted to 2:15 PM. Please check.,not_spam
Act now! Flipkart Big Sale ends soon. Shop here: https://fraud-link.com,spam
Congratulations! You've won a passport. Click here to claim: http://bit.ly/winner,spam
Happy Diwali! Hope you have a joyful and prosperous year ahead.,not_spam
"Hi bigbasketeer, Sugar, Maggi and Scrub at Re.1 for you. Enjoy this offer till this month end. Shop now https://l.bigbasket.com/YQy0EyTRYib",spam
"We want you to be a part of our Lenskart Pro Squad! First eyewear free + 20% off on future orders and lots more. Hurry, join now lskt.me/lp",spam
Y,not_spam
Pls look in to it ASAP,not_spam
Reminder: Your LIC premium payment is due tomorrow at 10:30 AM.,not_spam
Reminder: Your LIC premium payment is due tomorrow at 2:15 PM.,not_spam
"Hey, are we still going to the chai spot near college today?",not_spam
But it's only selecting,not_spam
Yes,not_spam
"Pack on 8089XXX424 will expire soon! Get free access to 1 channel on Airtel Xstream App, 1.5GB/day, UL calls for 84 days at Rs719. i.airtel.in/RechargeNow",spam
Get in touch with IT team,not_spam
Did you raise ticket with IT team,not_spam
Congratulations! You've won a passport. Click here to claim: https://scamoffers.net,spam
Final notice: Pay your subscription to avoid service disruption.,spam
Good morning sir Check in,not_spam
No worries there will be plenty of opportunities in the future,not_spam
My PC got shutdown,not_spam
Ok,not_spam
Meeting with HR has been shifted to 3:00 PM. Please check.,not_spam
Please check the WhatsApp group for the latest college fest update.,not_spam
Does this mean that more foreign capital will flow into India?,not_spam
Pre-approved for a ₹360 loan. Apply instantly!,spam
Hi Kk,not_spam
Congratulations! You've won a passport. Click here to claim: http://bit.ly/winner,spam
Good evening sir I've come to check in,not_spam
Don’t forget to bring your Aadhaar card for the registration.,not_spam
"Hey, are we still going to the chai spot near college today?",not_spam
All the best for your GATE exam tomorrow!,not_spam
Exclusive deal on your mobile recharge. Visit https://scamoffers.net now!,spam
Isase hamen kya fayda hoga,not_spam
Limited period offer: Get up to 46% cashback on Paytm.,spam
Secondary trends are short-term trends,not_spam
Win a passport worth ₹196! Take part in our contest: http://promo.clicknow,spam
"I don't think that should be the case, if it does increase business, that would be a good thing indeed, and on the contrary decrease, wouldn't that be less profitable.",not_spam
"Congratulations! Rs 240 Cashback* is waiting for you. Create Airtel wallet now and claim rewardsmini for free to get Rs 240 Cashback* on Recharges, Bill Payments & Shopping.i.airtel.in/q9EWf3xZjzb",spam
Earn ₹537/day from home! No experience needed!,spam
Final notice: Pay your electricity bill to avoid service disruption.,spam
Good morning check inÃ°ÂÂÂ,not_spam
Temperature ?? n the motherboard ribbon cable has to be dissipated,not_spam
"Dear Customer, avail the most rewarding Savings Account with YES BANK & also get offers on lockers, demat and loans. Know more: http://yesbnk.in/y8Itm5",spam
Stay Home!Stay Safe!Recharge from home with Phonepe for minimum Rs 149 and get reward vouchers upto Rs500. Click https://phon.pe/vikr,spam
Act now! Flipkart Big Sale ends soon. Shop here: http://bit.ly/winner,spam
Win a jacket worth ₹333! Take part in our contest: http://bit.ly/winner,spam
Don't Lose out on First 30 Days FREE of any new service! Upgrade to Airtel Black & get 14+ OTTs like Amazon Prime & Disney+ Hotstar. Click i.airtel.in/blackPreDSL,spam
"We are facing heavy rain downpours, thunderclaps and heavy lightning",not_spam
"Hi! Thank you for being with Vi-India's FASTEST 4G, Ookla-verified. We'd love to improve ourselves! Click http://bit.ly/3uU8D31 to share your feedback.",spam
Final notice: Pay your subscription to avoid service disruption.,spam
Thank you buddy,not_spam
Lowest rates on insurance. No PAN required. Apply now!,spam
"Enjoy Truly unlimited Local, STD & Roaming calls on any network, daily 1GB & 100 SMS. Pack Valid for 24 daysAlso get 30 days of free trial of Amazon Prime Video Mobile Edition with your recharge, T&C apply. Claim now u.airtel.in/PVME",spam
Pre-approved for a ₹717 loan. Apply instantly!,spam
Win a ticket worth ₹806! Take part in our contest: https://scamoffers.net,spam
Happy Diwali! Hope you have a joyful and prosperous year ahead.,not_spam
"Hope you are enjoying India's Best Video experience with Airtel! Refer a friend to Airtel prepaid & avail assured Rs100 coupon, t&c. To refer, click i.airtel.in/rs100coupon",spam
Pre-approved for a ₹202 loan. Apply instantly!,spam
Hi,not_spam
OkayÃ°ÂÂÂ,not_spam
Congratulations! You've won a ticket. Click here to claim: http://promo.clicknow,spam
Reminder: Your LIC premium payment is due tomorrow at 10:30 AM.,not_spam
"Your City is #Airtel5Gpluscity. Have you checked if your smartphone is 5G-compatible? Your SIM is 5G enabled; to check if your smartphone is also compatible, visit the Airtel Thanks App. Click i.airtel.in/e/airtel5G",spam
A- Identify the trend and level of Fibonacci retracement level.,not_spam
Limited period offer: Get up to 89% cashback on Paytm.,spam
Guys this is becoming a regular practice in our team.,not_spam
Reminder: Your LIC premium payment is due tomorrow at 3:00 PM.,not_spam
Hi! Enjoy our whats app services simply click wa.me/919654297000?text=recharge and track your recharge and history much more.,spam
?? ????????????????? ????? ??????!!! 359 ??????? ???? ????????? 2GB ?????? +???? ????? 28 ????? ???????.??????? ???????. Click http://bit.ly/ViRC20,spam
Congratulations! You've won a jacket. Click here to claim: https://fraud-link.com,spam
"GREAT VALUE OFFER! Get 50GB data, AD FREE HD Music along with over 20 Mn songs, unlimited hellotunes and downloads only with 301 Airtel pack. Valid as per current pack validity. Recharge today i.airtel.in/Wynk301New",spam
URGENT: Your SBI account will be suspended. Log in now at http://bit.ly/winner,spam
Pre-approved for a ₹653 loan. Apply instantly!,spam
Rejoining,not_spam
I will mail him now,not_spam
Exclusive deal on your mobile recharge. Visit https://scamoffers.net now!,spam
""" Good afternoon, investors. The market has closed, so let's do a brief summary.""",not_spam
Unlimited 5G data + 17 OTTs = Airtel Prepaid SIM! Order your SIM & enjoy home delivery at no extra cost. Click i.airtel.in/getprepaid7,spam
Act now! Flipkart Big Sale ends soon. Shop here: http://promo.clicknow,spam
FREEDOM SALE @ Lifestyle! Celebrate with unbeatable offers - Flat 50% off on your favourite brands! - Rs.1000 voucher on shopping of Rs.5000 in stores. - Rs.400 off on purchases of Rs.2499 on App/Website! Use code: MY400 Last Chance! Sale ends 19th August. T&C. Shop Now - bit.ly/3SNDgo2,spam
Mr Arvind Singh SMSPHARMA is up 2.5% right now Should it be sold?,not_spam
Lowest rates on personal loans. No PAN required. Apply now!,spam
?GIF omitted,not_spam
"You are right, we lack understanding of the market",not_spam
Act now! Flipkart Big Sale ends soon. Shop here: https://fraud-link.com,spam
Your favourite MUSIC is now on Vi app. Enjoy ad-free music & unlimited downloads at NO extra cost with Hungama Music on Vi app. https://bit.ly/3DaqXHX,spam
Don’t forget to bring your Aadhaar card for the registration.,not_spam
You deserve superfast unlimited?5G!?Upgrade to a?5G?handset & be eligible on recharging with Rs. 239 or above. Click i.airtel.in/5GAWUL,spam
"Ã°ÂÂÂ°Ã¯Â¸ÂNifty 50 rose 173 points this week, an increase of +0.71%",not_spam
"Dear User, Receive Rs.10,000 to Wallet Now - http://gmg.im/cvztd4 Finance Guru",spam
?This message was deleted.,not_spam
Pre-approved for a ₹671 loan. Apply instantly!,spam
Happy Diwali! Hope you have a joyful and prosperous year ahead.,not_spam
Don’t forget to bring your Aadhaar card for the registration.,not_spam
Hi team I successfully screwed up my sim so I need to get a new one tomorrow still it might take 24 hours to activate the nth mean time I am reachable on,not_spam
All the best for your GATE exam tomorrow!,not_spam
"Hi, Buy 1 Get 1 FREE on blissful bath & body essentials! Grab best-sellers @Nykaa's Freedom Sale, From 9PM-12AM! SHOP IT!: bit.ly/46DvW4i",spam
Disconnecting again and again,not_spam
"Dear bigbasketeer, All your orders above Rs.399 are free of delivery charges from now. Start shopping https://u1.mnge.co/DJqKqvq",spam
